time,open,high,low,close
1596718800,11760.39,11761.19,11734.4,11742.03
1596719700,11742.04,11779.09,11737.99,11776.82
1596720600,11776.82,11854.33,11768.23,11850
1596721500,11850,11872.86,11823.08,11867.98
1596722400,11867.97,11878.26,11803.62,11835
1596723300,11835.09,11856.31,11820.08,11849.87
1596724200,11849.87,11874.04,11826.66,11830.59
1596725100,11830.37,11838.32,11730.45,11800.62
1596726000,11800.62,11854.86,11795.82,11830.79
1596726900,11829.15,11848.62,11811.06,11815.1
1596727800,11815.15,11844.99,11790.09,11790.67
1596728700,11790.66,11839,11790.05,11837.56
1596729600,11837.56,11853,11824.15,11851.99
1596730500,11851.99,11870.5,11830,11842.3
1596731400,11842.39,11848.89,11796.63,11806.14
1596732300,11806.14,11837.3,11805.34,11824.9
1596733200,11824.91,11832.5,11800,11802.5
1596734100,11802.49,11821.15,11777.03,11814.85
1596735000,11814.85,11845.01,11808.26,11844.99
1596735900,11844.99,11868,11832.69,11861.98
1596736800,11861.97,11870,11835.48,11844
1596737700,11844.01,11865,11815,11830.48
1596738600,11830.68,11848.86,11821.15,11841.68
1596739500,11841.5,11848.63,11800.61,11845.93
1596740400,11845.93,11899.48,11836.81,11891
1596741300,11890.99,11898.8,11854.1,11870.9
1596742200,11870.31,11900,11845,11859.76
1596743100,11859.76,11870.37,11839.01,11863.72
1596744000,11863.84,11886.16,11840,11841.92
1596744900,11841.88,11865,11830.46,11839.96
1596745800,11839.97,11854.81,11789.13,11829.8
1596746700,11829.8,11851.72,11825.91,11837.98
1596747600,11837.99,11875,11837.98,11857.46
1596748500,11857.42,11859.11,11821.65,11822.5
1596749400,11822.5,11832.41,11755.84,11761.67
1596750300,11763.75,11798.05,11620,11741.51
